category	source1_entity_id	matched_entity_id	variation_labels	s1_business_name	s1_business_address	s1_country	matched_business_name	matched_business_address	matched_country	name_token_jaccard	address_token_jaccard	s1_us_state	matched_us_state	s1_us_city	matched_us_city
address_abbreviation_or_state_expansion	S1-955573269	S2-905119087	address_abbreviation_or_state_expansion;name_legal_suffix_change;name_low_lexical_overlap	Star Duke Inc	5531 E Bavarian Pass, Fridley, MN	US	Mirasol	5531 EAST BAVARIAN PASS, FRIDLEY, MN	US	0.0	1.0	MN	MN	fridley	fridley
address_case_punctuation_spacing	S1-451757068	S2-113167968	address_case_punctuation_spacing;name_legal_suffix_change;name_low_lexical_overlap;name_possible_typo;name_url_or_handle	Bynum, Peasley & Sanders, LLC	9034 River Hollow Cove, Fort Wayne, IN	US	bynumpeasleysanders.com	9034 RIVER HOLLOW COVE, FORT WAYNE, IN	US	0.0	1.0	IN	IN	fort wayne	fort wayne
address_component_addition_or_removal	S1-871845561	S2-341690574	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	Zip Controls (India) Private	25A, CAMAC STREET, VARDAAN MARKET UNIT NO. -405, KOLKATA, KOLKATA, West Bengal	India	0.8	0.9167				
address_component_reordering	S1-244830679	S3-613715631	address_abbreviation_or_state_expansion;address_component_reordering;name_word_reordering	X 8 Unified Integrated	1417 T Street, Unit APT 6, Sacramento, CA	US	X 8 Integrated Unified	Sacramento, 1417 T St, California, Unit APT 6	US	1.0	1.0	CA	CA	sacramento	
address_embedded_null_marker	S1-871845561	S3-496380155	address_embedded_null_marker;address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_case_only	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	ZIP CONTROLS (INDIA) PRIVATE LIMITED	25A., NULL, Kolkata, Howrah, WB	India	1.0	0.2143				
address_landmark_marker_change	S1-786435143	S3-175287901	address_landmark_marker_change;name_honorific_added;name_legal_suffix_change;name_token_addition_or_removal	Synthetic Medicines Partners	Survey No. 177, Near Jain Temple, Poman, Vasai Palghar, Vasai Palghar, Mumbai City, Maharashtra	India	Dr Synthetic Medicines Partners Ltd	H.no 177, Mumbai City, Vasai Palghar, MH	India	0.6	0.4286				
address_leading_zero_number_format	S1-713876095	S3-907957294	address_leading_zero_number_format;address_numeric_tokens_changed;name_legal_suffix_change;name_low_lexical_overlap	Kalavati Space (India) Ltd	Maharashtra, Pune City, Sno 29 Plno 47/48, Satara Road Flat No 103, Pune	India	Jaxarc	Sno 0029 Plno 47/48, Satara Road Flat No 103, Pune City, Pune, MH	India	0.0	0.7333				
address_low_lexical_overlap	S1-871845561	S3-496380155	address_embedded_null_marker;address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_case_only	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	ZIP CONTROLS (INDIA) PRIVATE LIMITED	25A., NULL, Kolkata, Howrah, WB	India	1.0	0.2143				
address_missing	S1-244830679	S3-738046917	address_missing;name_word_reordering	X 8 Unified Integrated	1417 T Street, Unit APT 6, Sacramento, CA	US	X Unified 8 Integrated		US	1.0	0.0	CA		sacramento	
address_numeric_tokens_changed	S1-871845561	S3-496380155	address_embedded_null_marker;address_low_lexical_overlap;address_numeric_tokens_changed;address_unit_po_box_change;name_case_only	Zip Controls (India) Private Limited	25A, Camac Street, Vardaan Market Unit No. -405, Kolkata, Kolkata, Howrah, West Bengal	India	ZIP CONTROLS (INDIA) PRIVATE LIMITED	25A., NULL, Kolkata, Howrah, WB	India	1.0	0.2143				
