anchor_s1_id	other_s1_id	anchor_name	other_name	anchor_address	other_address	country	anchor_us_state	other_us_state
S1-48693199	S1-865131206	Helios	Helios	19436 Ridge Drive, East Dubuque, IL	66 Edgewood Street, Bridgeport, CT	US	IL	CT
S1-435244647	S1-370715897	Primary Care Physicians Inc	Primary Care Physicians Inc.	3355 Bilby Road, Tucson, AZ	53 Park Lane, Wellsville, NY	US	AZ	NY
S1-828354985	S1-27029362	Global Ministries	Global Ministries	2201 Mcdonald Street, Mckinney, TX	74 429, Stockdale, TX	US	TX	TX
S1-754755175	S1-134898809	Corner Hypnosis	Corner Hypnosis	442 Roosevelt Drive, IN, Evansville	26 Stone Street, Unit 3, Beverly, MA	US	IN	MA
S1-357907472	S1-277072715	Shiva Management Private Limited	Shiva Management Private Limited	C-65-A, G/F, Internal Road, Kalkaji Opp. Homoeo Clinic New Delhi, Delhi, South Delhi, Delhi	D No. 20-6-3/12, Dantuluri Vari Street, Ayodyanagar, Vijayawada (Urban), Krishna, Andhra Pradesh	India		
S1-818550421	S1-514155563	Horizon LLC	Horizon LLC	High Point, NC, 3798 102 Samet Drive	2025 Sterigere Street, West Norriton Township, PA	US	NC	PA
S1-469015779	S1-492467148	Cure Bike Shop!	Cure Bike Shop	12634 74th Avenue, Seattle, WA	1317 University City Boulevard, Unit APT 5, Blacksburg Town, VA	US	WA	VA
S1-413767319	S1-947119891	Prairie Initiative	Prairie Initiative	3031 Valley Avenue, Unit STE 103, Winchester City, VA	15 Bellview Avenue, Brookhaven, NY	US	VA	NY
S1-541325455	S1-708796012	Board of Consumer Affairs	Board of Consumer Affairs	104 Rabbit Hill Road, Marion Twp, PA	122 Dayton Yellow Springs Road, Unit 4, Fairborn, OH	US	PA	OH
S1-918591990	S1-53323215	Raj Consulting Pvt Ltd	Raj Consulting Pvt Ltd	Flat No.15, Varun Complex, Ulka Nagari, Garkheda Parisar, Aurangabad, Maharashtra	701, Dlf Tower A, Jasola New Delhi, Delhi, New Delhi, Delhi	India		
S1-493870199	S1-21084577	Harbor Alliance	Harbor Alliance	2 Dartmoor Court, Olney, MD	45 Goff Street, Corning, NY	US	MD	NY
S1-893337156	S1-269039848	Holy Community Church	Holy Community Church	400 16th Avenue, Buffalo, MN	5546 Cincinnati Dayton Road, Middletown, OH	US	MN	OH
S1-343664229	S1-498738124	Primary Care Medicine	Primary Care Medicine	719 2nd Avenue, Hutchinson, KS	1509 Primrose Lane, Cary, NC	US	KS	NC
S1-125928626	S1-748364403	Eye Group	Eye Group	OH, Southington, 3810 St Rte 305	802 Buffalo Street, Unit 8, Johnson City, TN	US	OH	TN
S1-769341435	S1-417074218	One Constructions Private Limited	One Constructions Private Limited	29/7, 7Th Cross, Maruthi Nagar Madiwala, Bangalore, Karnataka	130, Zahoor Garden, Khaggu Sarai, Sambhal, Moradabad, Uttar Pradesh	India		
S1-319597612	S1-387694500	Bombay Power Private Limited	Bombay Power Private Limited	L5, Uttar Pradesh, Floor - 16Th, F-1603, Smart City Golf Homes, Noida, Gautam Buddha Nagar	No: 32/2, 2Nd Floor, Mcc Towers, Opp To Sigma Soft Tech Park, Whitefield Main Road, Ramagon, Danahalli, Bangalore, Karnataka	India		
S1-359973194	S1-187558029	Asset Building Charities	Asset Building Charities	1026 Perry Avenue, Fl 0, Wichita, KS	2103 Milwaukee Avenue, Minneapolis, MN	US	KS	MN
S1-979542575	S1-356319224	Womens Health Care	Womens Health Care	Gustine, 642 5th Avenue, CA	32 Lexington Avenue, Unit 1, Somerville, MA	US	CA	MA
S1-407479869	S1-342754370	Shree Care Private Limited	Shree Care Private Limited	Pvt Flat At Wb-38 S/F Pvt, Ganesh Nagar Ii Shakarpur, East Delhi, Delhi	1A - 201 Shilpitha Splendour, Bangalore North, Bangalore, Karnataka	India		
S1-624639323	S1-915022305	Cozy Pub	Cozy Pub	2103 Viking Drive, Kinston, NC	3616 Peterson Avenue, Chicago, IL	US	NC	IL
S1-865692410	S1-579617619	Cardiology Center LLC	Cardiology Center LLC	29 Drummers Lane, Bethel, CT	60 Queen Street, Hempstead, NY	US	CT	NY
