source1_entity_id	matched_entity_ids
S1-923701924	S2-921846100,S3-513172698,S3-442135963,S3-814212886
S1-242945171	S2-104048506,S3-386272282
S1-631675403	S2-365831746,S2-662528192,S3-607236414,S3-62886241,S3-747634613
S1-943644012	S3-849144072,S3-803920707
S1-542381734	S2-520610925,S2-320930306,S2-127719224,S3-570344577
S1-455792228	S2-597552608,S2-763790228,S2-539495776,S3-307064744,S3-834437093,S3-583333281
S1-830681339	S2-514866288,S3-823090613,S3-863208128
S1-51779529	S2-698647490,S2-404598661,S3-383774890,S3-885545635
S1-171160408	
S1-315119302	S2-650165921,S3-9051846,S3-990607119
S1-662425767	S2-30661532,S2-711247959,S3-875191268,S3-419407729
S1-824025307	S2-825392800,S2-996711231,S3-978219269
S1-669252911	S2-456469290,S2-245647702,S3-32942299
S1-195263670	S2-944382798,S2-727009910,S3-478499873,S3-739672944
S1-946366634	S2-215231760,S2-973011205,S3-720413375,S3-742498686,S3-131199121
S1-513175924	S2-618326040,S3-644308299,S3-752735437
S1-485945367	S2-655892955,S2-991481555,S2-265480665,S3-791165730,S3-509924259,S3-388485516
S1-27436790	S2-487809546,S2-534278996,S2-744190796,S3-233482438,S3-620322653
S1-345491755	S2-238109134,S3-175319361
S1-262489695	S2-316072222,S2-951222867,S2-896427622,S2-6794791,S3-107167362
S1-184679021	
S1-241628678	S2-521715976,S2-215923240,S3-952311626
S1-564802624	S2-459580659,S2-77015511,S2-767807562,S3-67780646,S3-785168805,S3-647323443,S3-284177240,S3-79983553
S1-254984434	S2-448781208,S2-670729489,S2-970238976,S3-655500213
S1-664812857	S2-803519997,S2-352652163,S3-478063053
S1-982112257	S2-200860747,S3-483952027,S3-102855368
S1-849005250	S2-357506206,S3-78863633,S3-511956955
S1-851996489	S2-590209776,S2-652073513,S3-336552679,S3-862266668
S1-675509323	S2-622760781,S3-174019102
S1-623758685	S2-329829130,S2-953583211,S3-618261320
S1-892787130	S2-72778682,S2-985743275,S3-885898210,S3-840983010
S1-250800945	S2-878643607,S2-902843837,S3-218724101,S3-545384604
S1-135583520	S2-701243003,S2-666419195,S3-339250003,S3-490684492
S1-662325954	S3-13165667,S3-547089258,S3-647853581,S3-129060453,S3-90184504
S1-996348879	S2-437488500,S3-81710828,S3-934593258,S3-470295838,S3-825968384
S1-396038167	S2-892639043,S2-442866713,S2-49337817,S2-302110992,S2-523020835,S3-809458312
S1-206758902	S2-490963075,S2-89513525,S3-948485228
S1-519816005	S2-755056359,S2-774788911,S3-193881446,S3-650023025
S1-362894724	
S1-671029725	S3-139200304,S3-974049273,S3-695412249,S3-651645626
S1-266021204	S2-751822174,S2-84215361,S2-273277571,S3-773799020,S3-909177759,S3-494363929
S1-968768640	S2-929108888,S2-575567048,S3-563241041,S3-795044435
S1-234754933	S2-383955059,S3-36086918
S1-880148668	S2-5546364,S2-877810169,S3-453913178
S1-452751734	S2-728661560,S3-649951134,S3-269489837,S3-900989632,S3-622874584
S1-824546097	S2-688917352
S1-931955809	S2-144428531,S3-152515228,S3-867458999
S1-59315037	S2-505484296,S2-66109709
S1-887675403	S2-50896669,S3-383892636
S1-173342403	S3-529082312
