source1_entity_id	matched_entity_id	variation_labels	s1_business_name	s1_business_address	s1_country	matched_business_name	matched_business_address	matched_country	name_token_jaccard	address_token_jaccard	s1_us_state	matched_us_state	s1_us_city	matched_us_city
S1-923701924	S2-921846100	address_possible_typo;name_case_only	Premio Pharma LLP	Flat No. 1103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, Uttar Pradesh	India	Premio Pharma Llp	H.NO 1103  , TOWER B5, 11TH FLOOR SUPERTECH ECO VILLAGE, NOIDA, Uttar Pradesh	India	1.0	0.7059				
S1-923701924	S3-513172698	address_numeric_tokens_changed;address_possible_typo;name_punctuation_spacing	Premio Pharma LLP	Flat No. 1103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, Uttar Pradesh	India	Premio  Pharma LLP	Door No 103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, UP	India	1.0	0.6316				
S1-923701924	S3-442135963	address_numeric_tokens_changed;address_possible_typo;name_accent_change	Premio Pharma LLP	Flat No. 1103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, Uttar Pradesh	India	Premio Phárma Llp	Flat No. 103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, UP	India	1.0	0.7222				
S1-923701924	S3-814212886	name_initialism_candidate;name_legal_suffix_change;name_low_lexical_overlap	Premio Pharma LLP	Flat No. 1103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, Uttar Pradesh	India	PP	Flat No. 1103, Tower B5, 11Th Floor Supertech Eco Village, Noida, Gautam Buddha Nagar, Uttar Pradesh	India	0.0	1.0				
S1-242945171	S2-104048506	address_component_addition_or_removal;address_possible_typo;name_word_reordering	Just Charitable Trust	8-1-284/Ou/25, Ou Colony, Shaikpet, Hyderabad, Rangareddy, Telangana	India	CHARITABLE JUST [[TRUST]]	8-1-284/OU/25, OU COLONY, SHAIKPET, HYDERABAD, K.V.RANGAREDDY, RANGAREDDY, Telangana	India	1.0	0.8333				
S1-242945171	S3-386272282	other_text_variation	Just Charitable Trust	8-1-284/Ou/25, Ou Colony, Shaikpet, Hyderabad, Rangareddy, Telangana	India	Just Trust Cgaritiabe	8-1-284/Ou/25., Lanco Hills, TG	India	0.5	0.3846				
S1-631675403	S2-365831746	address_leading_zero_number_format;address_numeric_tokens_changed;address_script_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Swastik Care	West Bengal, Kolkata, Calcutta, 455 P. K. Guha Road 1 No Airport Gate	India	স্বস্তিক কেয়ার	0455 P. K. GUHA ROAD 1 NO AIRPORT GATE, KOLKATA, PARGANAS NORTH, পশ্চিমবঙ্গ	India	0.0	0.5294				
S1-631675403	S2-662528192	address_leading_zero_number_format;address_numeric_tokens_changed;name_mixed_scripts;name_script_change_possible_transliteration	Swastik Care	West Bengal, Kolkata, Calcutta, 455 P. K. Guha Road 1 No Airport Gate	India	Swastik কেয়ার	West Bengal, NO 0455 P. K. GUHA ROAD 1 NO AIRPORT GATE, KOLKATA	India	0.3333	0.7857				
S1-631675403	S3-607236414	address_script_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Swastik Care	West Bengal, Kolkata, Calcutta, 455 P. K. Guha Road 1 No Airport Gate	India	স্বস্তিক কেয়ার	455 P. K. Guha Road 1 No Airport Gate, Kolkata, Calcutta, পশ্চিমবঙ্গ	India	0.0	0.7857				
S1-631675403	S3-62886241	name_mixed_scripts;name_script_change_possible_transliteration	Swastik Care	West Bengal, Kolkata, Calcutta, 455 P. K. Guha Road 1 No Airport Gate	India	Swastik কেয়ার	H.no 455 P. K. Guha Road 1 No Airport Gate, Kolkata, Calcutta, WB	India	0.3333	0.7333				
S1-631675403	S3-747634613	address_script_change;name_low_lexical_overlap;name_script_change_possible_transliteration	Swastik Care	West Bengal, Kolkata, Calcutta, 455 P. K. Guha Road 1 No Airport Gate	India	স্বস্তিক কেয়ার	455 P. K. Guha Road 1 No Airport Gate, Kolkata, Calcutta, পশ্চিমবঙ্গ	India	0.0	0.7857				
S1-943644012	S3-849144072	address_landmark_marker_change;name_legal_suffix_change	Basic Digital Private Limited	Shop No 32, Viva Mall Tower Near St Bus Deopt, P.P Marg, Virar West, Palghar, Thane, Maharashtra	India	Private Basic Digital Ltd	Shop No 32, Palghar, Thane, MH	India	0.6	0.2778				
S1-943644012	S3-803920707	address_possible_typo;name_abbreviation_equivalent;name_legal_suffix_change;name_possible_typo	Basic Digital Private Limited	Shop No 32, Viva Mall Tower Near St Bus Deopt, P.P Marg, Virar West, Palghar, Thane, Maharashtra	India	Basic Digital Private Ltd	Door No 32, Viva Mall Tower Near St Bus Deopt, P.p Marg, Virar West, Palghar, Thane, MH	India	0.6	0.7895				
S1-542381734	S2-520610925	address_case_punctuation_spacing;name_case_only	Eastern Heartland Angel LP	555 Main Street, Glastonbury, CT	US	EASTERN HEARTLAND ANGEL LP	555 MAIN STREET, GLASTONBURY, CT	US	1.0	1.0	CT	CT	glastonbury	glastonbury
S1-542381734	S2-320930306	address_abbreviation_or_state_expansion;name_legal_suffix_change;name_token_addition_or_removal	Eastern Heartland Angel LP	555 Main Street, Glastonbury, CT	US	Eastern Heartland	555 MAIN ST, GLASTONBURY, CT	US	0.5	1.0	CT	CT	glastonbury	glastonbury
S1-542381734	S2-127719224	address_case_punctuation_spacing;name_legal_suffix_change;name_token_addition_or_removal	Eastern Heartland Angel LP	555 Main Street, Glastonbury, CT	US	Eastern Heartland Angel	555 MAIN STREET, GLASTONBURY, CT	US	0.75	1.0	CT	CT	glastonbury	glastonbury
S1-542381734	S3-570344577	name_token_addition_or_removal;name_trade_alias_marker	Eastern Heartland Angel LP	555 Main Street, Glastonbury, CT	US	Synflux DBA: Eastern Heartland Angel LP	555 Main Street, Glastonbury, CT	US	0.6667	1.0	CT	CT	glastonbury	glastonbury
S1-455792228	S2-597552608	address_component_addition_or_removal;address_numeric_tokens_changed;address_possible_typo;address_unit_po_box_change;name_legal_suffix_change;name_token_addition_or_removal	Glyphora Islands LP	8865 Baseline Road, Unit 1301, Mesa, AZ	US	Glyphora Islands	8865 BASELINE RD, MESA, AZ	US	0.6667	0.7143	AZ	AZ	mesa	mesa
S1-455792228	S2-763790228	address_numeric_tokens_changed;address_unit_po_box_change;name_legal_suffix_change;name_token_addition_or_removal;us_city_conflict_candidate	Glyphora Islands LP	8865 Baseline Road, Unit 1301, Mesa, AZ	US	Glyphora Islands	8865 BASELINE ROAD, MESA FOUR PEAKS, AZ	US	0.6667	0.5556	AZ	AZ	mesa	mesa four peaks
S1-455792228	S2-539495776	address_component_addition_or_removal;address_numeric_tokens_changed;address_possible_typo;address_unit_po_box_change;name_punctuation_spacing	Glyphora Islands LP	8865 Baseline Road, Unit 1301, Mesa, AZ	US	GLYPHORA ISLANDS [LP]	8865 BASELINE RD, MESA, AZ	US	1.0	0.7143	AZ	AZ	mesa	mesa
S1-455792228	S3-307064744	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_numeric_identifier_added;name_possible_typo;us_city_conflict_candidate	Glyphora Islands LP	8865 Baseline Road, Unit 1301, Mesa, AZ	US	#13347 Glyphora Islands	8865 Baseline Rd, Unit 1301, Mesa Four Peaks, Arizona	US	0.5	0.7778	AZ	AZ	mesa	mesa four peaks
S1-455792228	S3-834437093	address_component_addition_or_removal;address_possible_typo;address_unit_po_box_change;name_legal_suffix_change;name_token_addition_or_removal	Glyphora Islands LP	8865 Baseline Road, Unit 1301, Mesa, AZ	US	Glyphora Islands	8865 Baseline Rd, # 1301, Arizona, Mesa	US	0.6667	0.8571	AZ	AZ	mesa	
S1-455792228	S3-583333281	address_component_addition_or_removal;address_possible_typo;name_legal_suffix_change;name_token_addition_or_removal;us_city_conflict_candidate	Glyphora Islands LP	8865 Baseline Road, Unit 1301, Mesa, AZ	US	Glyphora Islands	8865 Baseline Road, Unit 1301, Mesa Four Peaks, Arizona	US	0.6667	0.7778	AZ	AZ	mesa	mesa four peaks
